service,start_ts,end_ts,elapsed_seconds,elapsed_minutes
auth-mvc,1775871640.001331290,1775871751.635889136,111.635,1.86
catalogo-mvc,1775871649.080041150,1775871792.228606998,143.149,2.39
estoque-mvc,1775871663.443879226,1775871814.790100822,151.346,2.52
catalogo-ddd,1775871612.701260024,1775871833.390634658,220.689,3.68
auth-ddd,1775871599.866668183,1775871872.150814674,272.284,4.54
estoque-ddd,1775871631.459726864,1775871894.402566502,262.943,4.38
feat-monolito-mvc,1776034951.240882199,1776035064.729512246,113.489,1.89
feat-micro-mvc,1776034972.231444913,1776035066.933264887,94.702,1.58
feat-micro-ddd,1776034963.907804866,1776035145.078489671,181.171,3.02
feat-monolito-ddd,1776034942.176277723,1776035152.617243887,210.441,3.51
